entidad,relacion,objetos,pregunta,respuestas,obtenido_de
Ana Cecilia Blum,Fecha de nacimiento,['1972-03-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Cecilia Blum?,['1972-03-17'],['ecuador']
Ana Gabriel Barahona Zuñiga,Fecha de nacimiento,['2000-04-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Gabriel Barahona Zuñiga?,['2000-04-27'],['honduras']
Ana Galarza,Fecha de nacimiento,['1988-05-22'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Galarza?,['1988-05-22'],['ecuador']
Ana Galindo,Fecha de nacimiento,['1987-02-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Galindo?,['1987-02-08'],['honduras']
Ana García Carías,Fecha de nacimiento,['1969-09-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana García Carías?,['1969-09-21'],['honduras']
Ana Gasteazoro,Fecha de nacimiento,['1950-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Gasteazoro?,['1950-01-01'],['el_salvador']
Ana González,Fecha de nacimiento,['1986-02-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana González?,['1986-02-03'],['republica_dominicana']
Ana Guardia,Fecha de nacimiento,['1990-11-12'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Guardia?,['1990-11-12'],['panama']
Ana Ilce Gómez Ortega,Fecha de nacimiento,"['1944-10-28', '1945-01-01']",Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Ilce Gómez Ortega?,"['1944-10-28', '1945-01-01']","['nicaragua', 'nicaragua']"
Ana Isabel Illueca,Fecha de nacimiento,['1903-03-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Isabel Illueca?,['1903-03-14'],['panama']
Ana Julia García,Fecha de nacimiento,['1961-06-19'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Julia García?,['1961-06-19'],['honduras']
Ana Karina Manco,Fecha de nacimiento,['1970-12-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Karina Manco?,['1970-12-17'],['venezuela']
Ana Lucia De Leon Ospina,Fecha de nacimiento,['2004-12-09'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Lucia De Leon Ospina?,['2004-12-09'],['panama']
Ana Lucia de Leon,Fecha de nacimiento,['1991-06-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Lucia de Leon?,['1991-06-24'],['guatemala']
Ana Luisa Llovera,Fecha de nacimiento,['1913-02-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Luisa Llovera?,['1913-02-02'],['venezuela']
Ana Lya Uriarte,Fecha de nacimiento,['1962-07-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Lya Uriarte?,['1962-07-17'],['chile']
Ana Marcelo,Fecha de nacimiento,['1996-11-07'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Marcelo?,['1996-11-07'],['nicaragua']
Ana Maria Palma Flandez,Fecha de nacimiento,['1980-05-10'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Maria Palma Flandez?,['1980-05-10'],['chile']
Ana María Dueñas,Fecha de nacimiento,['1943-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana María Dueñas?,['1943-01-01'],['el_salvador']
Ana Mendieta,Fecha de nacimiento,['1948-11-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Mendieta?,['1948-11-18'],['cuba']
Ana Mercedes Asuaje de Rugeles,Fecha de nacimiento,['1914-08-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Mercedes Asuaje de Rugeles?,['1914-08-08'],['venezuela']
Ana Mercedes Robles Goris,Fecha de nacimiento,['1901-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Mercedes Robles Goris?,['1901-01-01'],['republica_dominicana']
Ana Quintero,Fecha de nacimiento,['2004-08-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Quintero?,['2004-08-14'],['panama']
Ana Quiñonez,Fecha de nacimiento,['1999-06-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Quiñonez?,['1999-06-04'],['ecuador']
Ana Rosa García,Fecha de nacimiento,['1997-12-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Rosa García?,['1997-12-02'],['republica_dominicana']
Ana Rosa Payán Cervera,Fecha de nacimiento,['1952-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Rosa Payán Cervera?,['1952-01-01'],['mexico']
Ana Silva,Fecha de nacimiento,['2002-01-09'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Silva?,['2002-01-09'],['nicaragua']
Ana Sofía Gómez,Fecha de nacimiento,['1995-11-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Sofía Gómez?,['1995-11-24'],['guatemala']
Ana Teresa Oropeza,Fecha de nacimiento,['1964-03-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Teresa Oropeza?,['1964-03-14'],['venezuela']
Ana Valeria Palacios,Fecha de nacimiento,['1991-02-16'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Valeria Palacios?,['1991-02-16'],['ecuador']
Ana Valverde,Fecha de nacimiento,['1798-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Valverde?,['1798-01-01'],['republica_dominicana']
Ana Vilma Albanez de Escobar,Fecha de nacimiento,['1954-03-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Vilma Albanez de Escobar?,['1954-03-02'],['el_salvador']
Ana Yancy Clavel,Fecha de nacimiento,['1992-04-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana Yancy Clavel?,['1992-04-28'],['el_salvador']
Ana de Armas,Fecha de nacimiento,['1988-04-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana de Armas?,['1988-04-30'],['cuba']
Ana de la Reguera,Fecha de nacimiento,['1977-04-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ana de la Reguera?,['1977-04-08'],['mexico']
Anabel Torres,Fecha de nacimiento,['1948-12-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anabel Torres?,['1948-12-28'],['colombia']
Anacleto Angelini,Fecha de nacimiento,['1912-01-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anacleto Angelini?,['1912-01-17'],['chile']
Anahí,Fecha de nacimiento,['1983-05-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anahí?,['1983-05-14'],['mexico']
Anai Benitez Mendez,Fecha de nacimiento,['1999-09-11'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anai Benitez Mendez?,['1999-09-11'],['paraguay']
Ananías Maidana Palacios,Fecha de nacimiento,['1923-07-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Ananías Maidana Palacios?,['1923-07-26'],['paraguay']
Anasha Campbell,Fecha de nacimiento,['1986-09-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anasha Campbell?,['1986-09-17'],['nicaragua']
Anastacio Vera,Fecha de nacimiento,['1985-10-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anastacio Vera?,['1985-10-05'],['paraguay']
Anastasia Acosta,Fecha de nacimiento,['1974-10-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anastasia Acosta?,['1974-10-18'],['mexico']
Anastasio Aquino,Fecha de nacimiento,['1792-04-15'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anastasio Aquino?,['1792-04-15'],['el_salvador']
Anastasio Bustamante,Fecha de nacimiento,['1780-07-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anastasio Bustamante?,['1780-07-27'],['mexico']
Anastasio Ortiz,Fecha de nacimiento,['1850-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anastasio Ortiz?,['1850-01-01'],['nicaragua']
Anastasio Somoza Debayle,Fecha de nacimiento,['1925-12-05'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anastasio Somoza Debayle?,['1925-12-05'],['nicaragua']
Anastasio Somoza García,Fecha de nacimiento,['1896-02-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anastasio Somoza García?,['1896-02-01'],['nicaragua']
Anay Tejeda,Fecha de nacimiento,['1983-04-03'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anay Tejeda?,['1983-04-03'],['cuba']
Anaysi Hernández,Fecha de nacimiento,['1981-08-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anaysi Hernández?,['1981-08-30'],['cuba']
Anaïs Nin,Fecha de nacimiento,['1903-02-21'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anaïs Nin?,['1903-02-21'],['cuba']
Anderson Cueto,Fecha de nacimiento,['1989-05-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anderson Cueto?,['1989-05-29'],['peru']
Anderson Hernández,Fecha de nacimiento,['1982-10-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anderson Hernández?,['1982-10-30'],['republica_dominicana']
Anderson Rojas,Fecha de nacimiento,['1992-12-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Anderson Rojas?,['1992-12-18'],['ecuador']
Andes Meza,Fecha de nacimiento,['1894-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andes Meza?,['1894-01-01'],['costa_rica']
Andi Baiz,Fecha de nacimiento,['1975-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andi Baiz?,['1975-01-01'],['colombia']
Andre Felipe Gonzales Ulloa,Fecha de nacimiento,['1996-02-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andre Felipe Gonzales Ulloa?,['1996-02-01'],['honduras']
Andre Isaac Martinez Guevara,Fecha de nacimiento,['1999-01-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andre Isaac Martinez Guevara?,['1999-01-24'],['honduras']
Andrea Cecilia Sanchez Bogado,Fecha de nacimiento,['1992-01-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrea Cecilia Sanchez Bogado?,['1992-01-04'],['paraguay']
Andrea Gaona,Fecha de nacimiento,['2001-05-23'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrea Gaona?,['2001-05-23'],['paraguay']
Andrea Isabella De los Rios Juliao,Fecha de nacimiento,['2003-05-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrea Isabella De los Rios Juliao?,['2003-05-08'],['panama']
Andrea Ixchíu,Fecha de nacimiento,['1987-09-11'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrea Ixchíu?,['1987-09-11'],['guatemala']
Andrea Natalia Caceres Grau,Fecha de nacimiento,['1997-03-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrea Natalia Caceres Grau?,['1997-03-01'],['paraguay']
Andrea Rojas,Fecha de nacimiento,['1995-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrea Rojas?,['1995-01-01'],['ecuador']
Andrea Suárez,Fecha de nacimiento,['1987-01-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrea Suárez?,['1987-01-08'],['ecuador']
Andrea Urroz,Fecha de nacimiento,['1995-02-10'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrea Urroz?,['1995-02-10'],['nicaragua']
Andrea Vargas,Fecha de nacimiento,['1996-05-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrea Vargas?,['1996-05-28'],['costa_rica']
Andrea Vera,Fecha de nacimiento,['1993-04-10'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrea Vera?,['1993-04-10'],['ecuador']
Andrea Villagrán,Fecha de nacimiento,['1992-01-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrea Villagrán?,['1992-01-02'],['guatemala']
Andres Monge Barquero,Fecha de nacimiento,['2001-02-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andres Monge Barquero?,['2001-02-27'],['costa_rica']
Andrew Cuomo,Fecha de nacimiento,['1957-12-06'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrew Cuomo?,['1957-12-06'],['usa']
Andrew Johnson,Fecha de nacimiento,['1808-12-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrew Johnson?,['1808-12-29'],['usa']
Andrew Loog Oldham,Fecha de nacimiento,['1944-01-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrew Loog Oldham?,['1944-01-29'],['colombia']
Andrey Aguilar,Fecha de nacimiento,['1960-11-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrey Aguilar?,['1960-11-18'],['costa_rica']
Andrey Amador,Fecha de nacimiento,['1986-08-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrey Amador?,['1986-08-29'],['costa_rica']
Andrey Campos,Fecha de nacimiento,['1978-12-07'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrey Campos?,['1978-12-07'],['costa_rica']
Andrey Fonseca,Fecha de nacimiento,['1993-04-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrey Fonseca?,['1993-04-08'],['costa_rica']
Andreé González,Fecha de nacimiento,['1975-06-30'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andreé González?,['1975-06-30'],['venezuela']
Andreína Paniagua,Fecha de nacimiento,['1978-09-07'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andreína Paniagua?,['1978-09-07'],['republica_dominicana']
André Ubilla,Fecha de nacimiento,['1984-12-18'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de André Ubilla?,['1984-12-18'],['chile']
Andrés Aguilar Mawdsley,Fecha de nacimiento,['1924-07-10'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Aguilar Mawdsley?,['1924-07-10'],['venezuela']
Andrés Aldama,Fecha de nacimiento,['1956-04-09'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Aldama?,['1956-04-09'],['cuba']
Andrés Arteaga,Fecha de nacimiento,['1959-01-17'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Arteaga?,['1959-01-17'],['chile']
Andrés Arturo Mack,Fecha de nacimiento,['1876-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Arturo Mack?,['1876-01-01'],['argentina']
Andrés Avelino Cáceres,Fecha de nacimiento,['1833-02-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Avelino Cáceres?,['1833-02-04'],['peru']
Andrés Barbero,Fecha de nacimiento,['1877-07-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Barbero?,['1877-07-28'],['paraguay']
Andrés Bello,Fecha de nacimiento,['1781-11-29'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Bello?,['1781-11-29'],['chile']
Andrés Benkö Kapuváry,Fecha de nacimiento,['1943-12-02'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Benkö Kapuváry?,['1943-12-02'],['paraguay']
Andrés Cadavid,Fecha de nacimiento,['1985-12-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Cadavid?,['1985-12-28'],['colombia']
Andrés Carevic,Fecha de nacimiento,['1978-12-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Carevic?,['1978-12-13'],['argentina']
Andrés Castro Estrada,Fecha de nacimiento,['1831-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Castro Estrada?,['1831-01-01'],['nicaragua']
Andrés Chocho,Fecha de nacimiento,['1983-11-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Chocho?,['1983-11-04'],['ecuador']
Andrés Delgado Pardo,Fecha de nacimiento,['1870-03-14'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Delgado Pardo?,['1870-03-14'],['venezuela']
Andrés Duarte,Fecha de nacimiento,['1972-02-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Duarte?,['1972-02-04'],['paraguay']
Andrés Eloy Blanco,Fecha de nacimiento,['1984-04-11'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Eloy Blanco?,['1984-04-11'],['venezuela']
Andrés Escobar,Fecha de nacimiento,['1967-03-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Escobar?,['1967-03-13'],['colombia']
Andrés Espinosa Pérez,Fecha de nacimiento,['1963-02-04'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Espinosa Pérez?,['1963-02-04'],['mexico']
Andrés F. Córdova,Fecha de nacimiento,['1892-05-08'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés F. Córdova?,['1892-05-08'],['ecuador']
Andrés Felipe Ortiz,Fecha de nacimiento,['1987-03-20'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Felipe Ortiz?,['1987-03-20'],['colombia']
Andrés Garzón,Fecha de nacimiento,['1901-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Garzón?,['1901-01-01'],['ecuador']
Andrés Guardado,Fecha de nacimiento,['1986-09-28'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Guardado?,['1986-09-28'],['mexico']
Andrés Gómez Santos,Fecha de nacimiento,['1960-02-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Gómez Santos?,['1960-02-27'],['ecuador']
Andrés Ignacio Menéndez,Fecha de nacimiento,['1879-02-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Ignacio Menéndez?,['1879-02-01'],['el_salvador']
Andrés Izarra,Fecha de nacimiento,['1969-05-24'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Izarra?,['1969-05-24'],['venezuela']
Andrés López de Medrano,Fecha de nacimiento,['1780-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés López de Medrano?,['1780-01-01'],['republica_dominicana']
Andrés Madariaga,Fecha de nacimiento,['1878-01-01'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Madariaga?,['1878-01-01'],['chile']
Andrés Manuel López Obrador,Fecha de nacimiento,['1953-11-13'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Manuel López Obrador?,['1953-11-13'],['mexico']
Andrés Mata,Fecha de nacimiento,['1870-11-10'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Mata?,['1870-11-10'],['venezuela']
Andrés Maupoint,Fecha de nacimiento,['1968-03-27'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Maupoint?,['1968-03-27'],['chile']
Andrés Mendoza,Fecha de nacimiento,['1978-04-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Mendoza?,['1978-04-26'],['peru']
Andrés Mistage,Fecha de nacimiento,['1981-09-11'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Mistage?,['1981-09-11'],['venezuela']
Andrés Morales,Fecha de nacimiento,['1962-05-26'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Morales?,['1962-05-26'],['chile']
Andrés Mosquera,Fecha de nacimiento,['1978-07-09'],Contesta la siguiente pregunta: ¿Cuál es la fecha de nacimiento de Andrés Mosquera?,['1978-07-09'],['colombia']
